"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C2";"C_0805_2012Metric";2;"100 nF 50 V X7R";;;
2;"C3";"C_0805_2012Metric";1;"00 nF 50 V X7R";;;
3;"C6, C7";"C_0805_2012Metric";2;"10 µF 25 V X5R";;;
4;"D1, D2";"D_SOD-123";2;"1N4148W";;;
5;"D3";"LED_D3.0mm";1;"3 mm LED";;;
6;"D4, D5";"D_SMA";2;"SS14 (40 V 1 A Schottky)";;;
7;"INV-OUT1, PWM-OUT1, TRI-OUT1";"Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles";3;"3.5 mm mono jack, Thonkiconn PJ398SM";;;
8;"J1";"IDC-Header_2x05_P2.54mm_Vertical";1;"2×5 2.54 mm shrouded IDC box header";;;
9;"J3, J5";"PinSocket_1x07_P2.54mm_Vertical";2;"Conn_01x07_Socket";;;
10;"J4, J6";"PinHeader_1x07_P2.54mm_Vertical";2;"Conn_01x07_Pin";;;
11;"OFFSET1";"Potentiometer_Alpha_RD901F-40-00D_Single_Vertical";1;"100 kΩ B (linear), centre-detent if available";;;
12;"Q1";"SOT-23";1;"MMBT3904";;;
13;"R1";"R_0805_2012Metric";1;"150 kΩ 0805 1%";;;
14;"R2";"R_0805_2012Metric";1;"2.2 kΩ 0805 1%";;;
15;"R3";"R_0805_2012Metric";1;"1 kΩ 0805";;;
16;"R4, R14";"R_0805_2012Metric";2;"4.7 kΩ 0805 1%";;;
17;"R5, R16, R18, R19, R21, R22";"R_0805_2012Metric";6;"100 kΩ 0805 1%";;;
18;"R6";"R_0805_2012Metric";1;"10 kΩ 0805 1%";;;
19;"R17, R20";"R_0805_2012Metric";2;"1 kΩ 0805 1%";;;
20;"R23, R24";"R_0805_2012Metric";2;"10 Ω 0805";;;
21;"RANGE1";"Potentiometer_Alpha_RD901F-40-00D_Single_Vertical";1;"100 kΩ A (audio) for smoother level control (B works)";;;
22;"RATE1";"Potentiometer_Alpha_RD901F-40-00D_Single_Vertical";1;"100 kΩ Alpha 9 mm vertical - taper B (or reverse‑log for feel)";;;
23;"SHAPE1";"Potentiometer_Alpha_RD901F-40-00D_Single_Vertical";1;"500 kΩ B (linear)";;;
24;"U1";"SO-14_3.9x8.65mm_P1.27mm";1;"TL074CDR";;;
